Name,UniProt ID,Oxidized 24h,Reduced 24h,P-value 24h,Difference 24h,P-value (log) 24h,Significant 24h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 48h,Reduced 48h,P-value 48h,Difference 48h,P-value (log) 48h,Significant 48h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 72h,Reduced 72h,P-value 72h,Difference 72h,P-value (log) 72h,Significant 72h,Abundance Check Oxidized,Abundance Check Reduced,General abundance check,,
ALK1,P43633,6.812,7.5344,0.29002,-0.7224,0.537572052,-,More,More,7.6392,7.2707,0.55935,0.3685,0.252316358,-,More,More,7.2573,7.5177,0.59693,-0.2604,0.224076594,-,More,More,All above average,FALSE,FALSE
ALK2,P32789,4.4256,3.698,0.89707,0.7276,0.047173667,-,Less,Less,5.4861,4.9467,0.69069,0.5394,0.160716832,-,Less,Less,6.4672,6.2055,0.65747,0.2617,0.182124059,-,More,More,FALSE,FALSE,Mixed
ALO1,P54783,7.1683,6.7314,0.63216,0.4369,0.199172988,-,More,More,7.1382,7.3273,0.76453,-0.1891,0.116605468,-,More,More,6.6924,6.8024,0.85212,-0.11,0.069499241,-,More,More,All above average,FALSE,FALSE
ALP1,P38971,9.4896,9.5635,0.85907,-0.0739,0.065971447,-,More,More,9.3788,9.4963,0.80461,-0.1175,0.094414574,-,More,More,9.5572,9.7051,0.71368,-0.1479,0.146496474,-,More,More,All above average,FALSE,FALSE
ALY1,P36117,0,3.698,0.37234,-3.698,0.429060306,-,Less,Less,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
AMD1,P15274,5.4269,0,0.3346,5.4269,0.475474063,-,Less,Less,3.248,2.8564,0.82017,0.3916,0.08609612,-,Less,Less,4.3,2.473,0.22167,1.827,0.654293079,-,Less,Less,FALSE,All Below Average,FALSE
AMD2,P22580,9.0249,9.0796,0.89524,-0.0547,0.048060521,-,More,More,8.9483,9.1177,0.72139,-0.1694,0.141829882,-,More,More,9.2273,8.5933,0.11598,0.634,0.935616896,-,More,More,All above average,FALSE,FALSE
ANP1,P32629,0,0,0,0,0,-,Less,Less,2.781,3.7532,0.5725,-0.9722,0.242224509,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
ANS1,P38832,7.8055,6.8268,0.1517,0.9787,0.819014419,-,More,More,7.1252,4.6205,0.017783,2.5047,1.749994972,-,More,Less,6.7813,3.9613,0.053093,2.82,1.274962734,-,More,Less,FALSE,FALSE,Mixed
APA1,P16550 P40319,7.9346,6.6293,0.055896,1.3053,1.25261927,-,More,More,8.435,7.6698,0.17577,0.7652,0.755055247,-,More,More,8.013,7.3016,0.11301,0.7114,0.946883125,-,More,More,All above average,FALSE,FALSE
APA2,P22108,6.5215,6.0357,0.65165,0.4858,0.1859856,-,More,More,6.8299,5.5039,0.20959,1.326,0.678629442,-,More,Less,6.3247,2.473,0.025228,3.8517,1.598117178,-,Less,Less,FALSE,FALSE,Mixed
APC9,Q12107,7.7707,7.4942,0.68553,0.2765,0.163973535,-,More,More,8.1689,7.4425,0.19873,0.7264,0.701736567,-,More,More,8.0251,7.5967,0.33993,0.4284,0.468610506,-,More,More,All above average,FALSE,FALSE
